discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
overwatch strategy,Your Overwatch,testEmail,country not detected,https://www.youtube.com/channel/UCEzOHrh9snmHJSGu9wmOvsw/about,185616.5,0.03296020738098894,"- big active channel
- overwatch content",1,634827,2018-05-07 13:31:11.339548,25.0,UCEzOHrh9snmHJSGu9wmOvsw
overwatch strategy,Cynical Nerds,testEmail,GB,https://www.youtube.com/channel/UCDwoCUCfLxCE7FNO8hZnvXg/about,9651.32,0.06552212547092004,no notes,0,47583,2018-05-07 13:31:15.668963,25.0,UCDwoCUCfLxCE7FNO8hZnvXg
pubg,PUBG TV,testEmail,US,https://www.youtube.com/channel/UCXQ_4o9suWlKtAUUfqn9I5Q/about,493007.7083333333,0.01454220728939936,no notes,1,641819,2018-05-07 13:31:20.255923,25.0,UCXQ_4o9suWlKtAUUfqn9I5Q
pubg,Shroud,testEmail,CA,https://www.youtube.com/channel/UCoz3Kpu5lv-ALhR4h9bDvcw/about,573337.0416666666,0.027365447999645933,no notes,1,1619930,2018-05-07 13:31:23.818307,25.0,UCoz3Kpu5lv-ALhR4h9bDvcw
pubg,PUBG WTF,testEmail,US,https://www.youtube.com/channel/UCT1d4QydLziQUmp_lqQirMQ/about,147307.11764705883,0.014793822110748214,- pubg clips,1,310080,2018-05-07 13:31:26.655144,18.0,UCT1d4QydLziQUmp_lqQirMQ
pubg,Shamanenok,testEmail,country not detected,https://www.youtube.com/channel/UCFuqaVBw9wJVH_cC10fiUOg/about,20702.909090909092,0.06308397208312745,- foreign channel,0,60414,2018-05-07 13:31:31.098485,25.0,UCFuqaVBw9wJVH_cC10fiUOg
pubg,Juka,testEmail,DE,https://www.youtube.com/channel/UC6nNDdTAjCtHEDkMdR13ryQ/about,33249.625,0.06748888858608633,no notes,0,136337,2018-05-07 13:31:35.389688,25.0,UC6nNDdTAjCtHEDkMdR13ryQ
fortnite review,BananaGaming,testEmail,SE,https://www.youtube.com/channel/UCPKbW1excf-E7Tmwom1AgkQ/about,74495.83333333333,0.056885148230739487,no notes,0,490536,2018-05-07 13:31:39.946552,25.0,UCPKbW1excf-E7Tmwom1AgkQ
fornite news,Fortnite,testEmail,country not detected,https://www.youtube.com/channel/UClG8odDC8TS6Zpqk9CGVQiQ/about,2166352.217391304,0.021537702699233885,no notes,1,1692078,2018-05-07 13:31:44.313877,25.0,UClG8odDC8TS6Zpqk9CGVQiQ
fornite news,Thunder Bay Personal Trainer - Logan Blake,testEmail,CA,https://www.youtube.com/channel/UCvNKFLgDrILREjG1uYI98zg/about,9274.875,0.003255053829976614,no notes,0,9682,2018-05-07 13:31:48.756838,25.0,UCvNKFLgDrILREjG1uYI98zg
fornite news,Entertainment Weekly,testEmail,country not detected,https://www.youtube.com/channel/UClWCQNaggkMW7SDtS3BkEBg/about,919.1428571428571,0.01602813179981349,no notes,0,153798,2018-05-07 13:31:50.384356,8.0,UClWCQNaggkMW7SDtS3BkEBg
fornite news,TheCampingRusher - Fortnite,testEmail,CA,https://www.youtube.com/channel/UCwMFwvFgLaFad8ZnKsWBneg/about,79958.28571428571,0.05303859333795479,"- former big utuber
- currently playing fortnite",1,1089432,2018-05-07 13:31:52.010584,8.0,UCwMFwvFgLaFad8ZnKsWBneg
fornite news,TrueTriz,testEmail,country not detected,https://www.youtube.com/channel/UCRzO050f2DOQ0iZsylVH4dw/about,156795.1,0.07867673972418317,- gaming channel,1,1024507,2018-05-07 13:31:53.826234,11.0,UCRzO050f2DOQ0iZsylVH4dw
COD strategy,YouAlwaysWin,testEmail,CA,https://www.youtube.com/channel/UCj4I9NfO3xIvl-Ym2Qzib1Q/about,25321.260869565216,0.045618315249772924,- gaming channell,1,2613214,2018-05-07 13:31:58.447791,25.0,UCj4I9NfO3xIvl-Ym2Qzib1Q
COD strategy,Zeus,testEmail,AU,https://www.youtube.com/channel/UC7-bSJrZzmHzhJqtJegEAdA/about,47577.916666666664,0.035361930230873286,no notes,0,383218,2018-05-07 13:32:00.954647,13.0,UC7-bSJrZzmHzhJqtJegEAdA
COD strategy,ItsNick,testEmail,CA,https://www.youtube.com/channel/UC95YIZfMwoiNFyb8tkY5yRg/about,17881.1,0.03644630363903787,no notes,0,325106,2018-05-07 13:32:03.138202,11.0,UC95YIZfMwoiNFyb8tkY5yRg
COD strategy,Call of Duty,testEmail,country not detected,https://www.youtube.com/channel/UC9YydG57epLqxA9cTzZXSeQ/about,367642.4347826087,0.04987080724465738,no notes,1,5314064,2018-05-07 13:32:06.747457,25.0,UC9YydG57epLqxA9cTzZXSeQ
COD strategy,SwaggXBL,testEmail,US,https://www.youtube.com/channel/UCW1CGYCjfKhNLGp_Os1g_Pg/about,31989.0,0.045809864788079725,- COD streaming channel,1,295371,2018-05-07 13:32:09.584510,18.0,UCW1CGYCjfKhNLGp_Os1g_Pg
hottest laptops,GadgetGeeks,testEmail,IN,https://www.youtube.com/channel/UC9M-Duij19OLAq9QYSH_qVQ/about,83.375,0.05110488234143798,no notes,0,33597,2018-05-07 13:32:14.843352,25.0,UC9M-Duij19OLAq9QYSH_qVQ
most expensive computer build,Kizzon,testEmail,US,https://www.youtube.com/channel/UCbJfCkvUeZ10ahJfbiwbAZA/about,22768.875,0.02084778257843462,- dead channel,0,6923,2018-05-07 13:32:18.706317,9.0,UCbJfCkvUeZ10ahJfbiwbAZA
most expensive computer build,Frosted,testEmail,US,https://www.youtube.com/channel/UCubBbI3yg5FH6JjllNTuaWg/about,61.36363636363637,0.10814814814814815,no notes,0,13915,2018-05-07 13:32:21.323092,12.0,UCubBbI3yg5FH6JjllNTuaWg
gaming speaker review,Zars Tech Stream,testEmail,BD,https://www.youtube.com/channel/UCSEOIAIxcIlv0TMhnNUq9Rw/about,743.8333333333334,0.018037194712077077,no notes,0,1623,2018-05-07 13:32:27.867789,13.0,UCSEOIAIxcIlv0TMhnNUq9Rw
smart home review,SmartHomeReviewsEh,testEmail,CA,https://www.youtube.com/channel/UC9Zxlf6IXm1VRqBPL3L0xNQ/about,9932.04347826087,0.022168037577100033,no notes,0,7047,2018-05-07 13:32:32.701953,24.0,UC9Zxlf6IXm1VRqBPL3L0xNQ
apple watch review,JeanineTV Vlogs,testEmail,US,https://www.youtube.com/channel/UC6z28hd5kT9dp5wjNnbb2ZA/about,42731.46666666667,0.06581633608243195,- vlog channel,0,230097,2018-05-07 13:32:36.119950,15.0,UC6z28hd5kT9dp5wjNnbb2ZA
apple watch review,Krystal Key,testEmail,US,https://www.youtube.com/channel/UCYGjbdDveVI8hGXyQBCeMZQ/about,196216.95833333334,0.029933702213557397,no notes,1,380661,2018-05-07 13:32:40.160992,25.0,UCYGjbdDveVI8hGXyQBCeMZQ
gameplay benchmarking,Niflick,testEmail,BH,https://www.youtube.com/channel/UCegoAtlIEeEbu8ZqsjuPJRw/about,818.5,0.0477499490938709,no notes,0,41316,2018-05-07 13:32:43.840228,13.0,UCegoAtlIEeEbu8ZqsjuPJRw
gameplay benchmarking,GTX 750 TI,testEmail,country not detected,https://www.youtube.com/channel/UCz6wcAL19HW6XKAQiO_xwoQ/about,7359.458333333333,0.01248393507221433,no notes,0,15683,2018-05-07 13:32:47.986957,25.0,UCz6wcAL19HW6XKAQiO_xwoQ
