discovery keyword,channel name,email,country,URL,AVG views,AVG engagement,notes,reachOut,total subs,date recorded,sampleSize,id
gaming rig setups,Alex Mandel Vlog,testEmail,n/a,https://www.youtube.com/channel/UCwuRC9oEYPRV_drofrS-4kg/about,"25,251.47",4.67%,- vlog channel,0,481051,2018-04-30 12:15:33,18,UCwuRC9oEYPRV_drofrS-4kg
ableton push review,modul8tor,testEmail,n/a,https://www.youtube.com/channel/UCeEUQ2fQUi-WtfMZwAylwuw/about,"25,233.60",0.66%,- music channel,0,1253,2018-04-30 12:09:53,5,UCeEUQ2fQUi-WtfMZwAylwuw
best wireless headphones,The Unboxers,testEmail,n/a,https://www.youtube.com/channel/UCOmn6l7z7e-vFX3TybUvHPw/about,"25,131.35",1.41%,- weiird channel,0,5110,2018-04-30 11:16:34,25,UCOmn6l7z7e-vFX3TybUvHPw
overwatch tips for solder 76,Overpwn,testEmail,country not detected,https://www.youtube.com/channel/UC-wzdZZ3FOag4O2QsltxBIQ/about,"25,104.88",0.43%,dead channel,0,1784,2018-05-07 15:19:44,25,UC-wzdZZ3FOag4O2QsltxBIQ
PCB keyboard,BiNiaRiS,testEmail,n/a,https://www.youtube.com/channel/UC4fevdTnz1v_uwHq7LFQ7_w/about,"24,645.67",0.46%,- dead channel,0,21,2018-04-30 12:12:12,3,UC4fevdTnz1v_uwHq7LFQ7_w
bluetooth earbuds,Yuryev Family,testEmail,n/a,https://www.youtube.com/channel/UC99Q63f9zthgZFvFQcKiFSA/about,"23,868.50",0.40%,- some family channel,0,237,2018-04-30 15:03:03,8,UC99Q63f9zthgZFvFQcKiFSA
cheap headphone review,Matt Schaefer,testEmail,US,https://www.youtube.com/channel/UCET0jPMhgiSfdZybhyrIMhA/about,"23,729.92",4.18%,- bad reviews of channel,0,517504,2018-04-30 10:20:10,25,UCET0jPMhgiSfdZybhyrIMhA
fortnite strategy,PrinceDanny,testEmail,US,https://www.youtube.com/channel/UC9uWvVGad381UaDyg_J8YZg/about,"23,130.75",4.61%,"- gaming channel
- fortnite",1,40269,2018-05-07 15:27:36,25,UC9uWvVGad381UaDyg_J8YZg
best beginner headphones,recordingrevolution,testEmail,US,https://www.youtube.com/channel/UCjRzsiP_aDWWLHV4-2LKBtg/about,"23,116.33",3.96%,- music channell,0,399957,2018-04-30 10:20:22,25,UCjRzsiP_aDWWLHV4-2LKBtg
gaming pc under 300,Andy Ino,testEmail,US,https://www.youtube.com/channel/UCR60f_ndLSdk1ieI-LIRQnA/about,"22,918.00",2.50%,- dead channel,0,66094,2018-04-30 12:19:11,10,UCR60f_ndLSdk1ieI-LIRQnA
most expensive computer build,Kizzon,testEmail,US,https://www.youtube.com/channel/UCbJfCkvUeZ10ahJfbiwbAZA/about,"22,768.88",2.08%,- dead channel,0,6923,2018-05-07 13:32:19,9,UCbJfCkvUeZ10ahJfbiwbAZA
camera review,DPReview,testEmail,US,https://www.youtube.com/channel/UCqP1gIWh2SM3lRXf373gMNQ/about,"22,735.92",0.81%,- brand channel,0,74780,2018-04-30 14:42:59,13,UCqP1gIWh2SM3lRXf373gMNQ
gaming tv,Armando Ferreira,testEmail,US,https://www.youtube.com/channel/UCXzySgo3V9KysSfELFLMAeA/about,"22,467.50",3.52%,- misc tech channnel,1,306668,2018-04-30 14:41:07,15,UCXzySgo3V9KysSfELFLMAeA
headphone amps,Make:,testEmail,n/a,https://www.youtube.com/channel/UChtY6O8Ahw2cz05PS2GhUbg/about,"22,328.04",2.53%,- DIY channel,1,1606560,2018-04-30 11:20:02,25,UChtY6O8Ahw2cz05PS2GhUbg
gaming pc setup tour,Ryan Franklin,testEmail,n/a,https://www.youtube.com/channel/UCi2QxtjB7UR0D7fJO2r0CeQ/about,"22,170.27",8.09%,- vlog channel,0,157007,2018-04-30 12:22:22,24,UCi2QxtjB7UR0D7fJO2r0CeQ
wireless earbuds unboxing,Droid Life,testEmail,n/a,https://www.youtube.com/channel/UCTGBHncizmXKmgvwwLh8UlQ/about,"22,084.83",1.75%,- android tech reviews,1,287159,2018-04-30 15:02:25,25,UCTGBHncizmXKmgvwwLh8UlQ
overwatch tips,The Leaderboard,testEmail,US,https://www.youtube.com/channel/UCkYEKuyQJXIXunUD7Vy3eTw/about,"21,955.00",2.69%,no notes,0,620876,2018-05-07 15:17:03,25,UCkYEKuyQJXIXunUD7Vy3eTw
liquid cooling vs air cooling,CORSAIR,testEmail,n/a,https://www.youtube.com/channel/UCPy4EQ9HhP-g9xc4yDahhnQ/about,"21,854.21",2.38%,- brand channel,0,360234,2018-04-30 14:28:27,25,UCPy4EQ9HhP-g9xc4yDahhnQ
super smash bro tutorial,IzawSmash,testEmail,country not detected,https://www.youtube.com/channel/UC3SM8yOKKwU8PYqwsNP5rGA/about,"21,819.42",4.89%,- super smash training channel,0,77528,2018-05-07 14:47:00,25,UC3SM8yOKKwU8PYqwsNP5rGA
evga review,Spartan Geek,testEmail,n/a,https://www.youtube.com/channel/UCk5P7-ZHAS8ddSEkUA2yXHA/about,"21,676.55",8.75%,- foreign channel,0,295033,2018-04-30 14:36:10,12,UCk5P7-ZHAS8ddSEkUA2yXHA
mech keyboard tutorial,Joanne Tech Lover,testEmail,US,https://www.youtube.com/channel/UCDtH9xTCEPzpR_FJiuZ-hFQ/about,"21,426.58",6.00%,- dead channel,0,110095,2018-04-30 10:19:33,13,UCDtH9xTCEPzpR_FJiuZ-hFQ
overwatch tips,JoeKing,testEmail,US,https://www.youtube.com/channel/UCZMMS-o10rVN7-9hogl2weA/about,"21,309.58",4.05%,no notes,0,44432,2018-05-07 15:17:01,13,UCZMMS-o10rVN7-9hogl2weA
best mech keys,GrimmGreen,testEmail,US,https://www.youtube.com/channel/UCcTfQohClxDpYDBCnuS1azQ/about,"20,932.00",5.17%,"- ecig channel
- vaping channel",0,364044,2018-04-30 10:08:36,16,UCcTfQohClxDpYDBCnuS1azQ
pubg,Shamanenok,testEmail,country not detected,https://www.youtube.com/channel/UCFuqaVBw9wJVH_cC10fiUOg/about,"20,702.91",6.31%,- foreign channel,0,60414,2018-05-07 13:31:31,25,UCFuqaVBw9wJVH_cC10fiUOg
home audio,Cassadee Pope,testEmail,country not detected,https://www.youtube.com/channel/UCK_TKtKNxze-WYC61kTlu2A/about,"20,663.55",1.92%,- music channel,0,234863,2018-05-07 15:22:17,12,UCK_TKtKNxze-WYC61kTlu2A
fortnite strategy solo,True Vanguard,testEmail,country not detected,https://www.youtube.com/channel/UCY6Qy4qU-d13U42280CxIvA/about,"20,546.86",8.51%,"- gaming channel
- destiny channel
- also streams",1,196859,2018-05-07 15:28:12,23,UCY6Qy4qU-d13U42280CxIvA
gaming chair vs office chair,JD Ultimate,testEmail,n/a,https://www.youtube.com/channel/UCszCiwjbqla37kHqBmJOiOg/about,"20,357.75",0.99%,,0,137,2018-04-30 14:48:28,4,UCszCiwjbqla37kHqBmJOiOg
